2025-08-18 17:27:16.621 [main] INFO  it.evsmartcharging.CloudApplication - Starting system ...
2025-08-18 17:27:16.785 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_solar_obs
2025-08-18 17:27:16.788 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_real_power_obs
2025-08-18 17:27:25.369 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.595, WS=1.9354, P_predicted=0.0
2025-08-18 17:27:25.511 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:25.0, P_real=0.0
2025-08-18 17:27:28.456 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:30.0, P_real=0.0
2025-08-18 17:27:33.455 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:35.0, P_real=0.0
2025-08-18 17:27:38.509 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:40.0, P_real=0.0
2025-08-18 17:27:38.607 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5925, WS=1.9351, P_predicted=0.0
2025-08-18 17:27:43.506 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:45.0, P_real=0.0
2025-08-18 17:27:48.541 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:50.0, P_real=0.0
2025-08-18 17:27:53.545 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:55.0, P_real=0.0
2025-08-18 17:27:58.529 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:00.0, P_real=0.0
2025-08-18 17:27:58.578 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.59, WS=1.9347, P_predicted=0.0
2025-08-18 17:28:03.529 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:05.0, P_real=0.0
2025-08-18 17:28:08.568 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:10.0, P_real=0.0
2025-08-18 17:28:13.562 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:15.0, P_real=0.0
2025-08-18 17:28:18.555 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:20.0, P_real=0.0
2025-08-18 17:28:18.758 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5875, WS=1.9343, P_predicted=0.0
2025-08-18 17:28:23.580 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:25.0, P_real=0.0
2025-08-18 17:28:28.651 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:30.0, P_real=0.0
2025-08-18 17:28:33.557 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:35.0, P_real=0.0
2025-08-18 17:28:38.602 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:40.0, P_real=0.0
2025-08-18 17:28:38.683 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.585, WS=1.9339, P_predicted=0.0
2025-08-18 17:28:43.642 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:45.0, P_real=0.0
2025-08-18 17:28:48.698 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:50.0, P_real=0.0
2025-08-18 17:28:50.691 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:55.0, P_real=0.0
2025-08-18 17:28:50.955 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:00.0, P_real=0.0
2025-08-18 17:28:51.092 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:07:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5825, WS=1.9335, P_predicted=0.0
2025-08-18 17:28:51.234 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:05.0, P_real=0.0
2025-08-18 17:45:49.761 [main] INFO  it.evsmartcharging.CloudApplication - Starting system ...
2025-08-18 17:45:49.944 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_solar_obs
2025-08-18 17:45:49.954 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_real_power_obs
2025-08-18 17:45:58.608 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5975, WS=1.9358, P_predicted=0.0
2025-08-18 17:45:58.833 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:15.0, P_real=0.0
2025-08-18 17:45:59.659 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:20.0, P_real=0.0
2025-08-18 17:45:59.820 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.595, WS=1.9354, P_predicted=0.0
2025-08-18 17:46:04.583 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:25.0, P_real=0.0
2025-08-18 17:46:09.521 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:30.0, P_real=0.0
2025-08-18 17:46:14.575 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:35.0, P_real=0.0
2025-08-18 17:46:19.599 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:40.0, P_real=0.0
2025-08-18 17:46:19.662 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5925, WS=1.9351, P_predicted=0.0
2025-08-18 17:46:24.553 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:45.0, P_real=0.0
2025-08-18 17:46:29.586 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:50.0, P_real=0.0
2025-08-18 17:46:34.613 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:55.0, P_real=0.0
2025-08-18 17:46:39.598 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:00.0, P_real=0.0
2025-08-18 17:46:39.694 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.59, WS=1.9347, P_predicted=0.0
2025-08-18 17:46:44.593 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:05.0, P_real=0.0
2025-08-18 17:46:49.302 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:10.0, P_real=0.0
2025-08-18 17:46:51.721 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:15.0, P_real=0.0
2025-08-18 17:46:54.191 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:20.0, P_real=0.0
2025-08-18 17:46:54.366 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5875, WS=1.9343, P_predicted=0.0
2025-08-18 17:46:56.760 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:25.0, P_real=0.0
2025-08-18 17:46:59.278 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:30.0, P_real=0.0
2025-08-18 17:47:01.794 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:35.0, P_real=0.0
2025-08-18 17:47:04.189 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:40.0, P_real=0.0
2025-08-18 17:47:04.437 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.585, WS=1.9339, P_predicted=0.0
2025-08-18 17:47:06.800 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:45.0, P_real=0.0
2025-08-18 17:47:09.296 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:50.0, P_real=0.0
2025-08-18 17:47:11.762 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:55.0, P_real=0.0
2025-08-18 17:49:18.266 [Thread-0] ERROR it.evsmartcharging.CoapObserver - Error during observation!
2025-08-18 17:49:26.653 [Thread-0] ERROR it.evsmartcharging.CoapObserver - Error during observation!
2025-08-18 17:50:49.955 [main] INFO  it.evsmartcharging.CoapObserver - Observation canceled for /res_real_power_obs
2025-08-18 17:50:49.957 [main] INFO  it.evsmartcharging.CoapObserver - Observation canceled for /res_solar_obs
2025-08-18 17:56:46.274 [main] INFO  it.evsmartcharging.CloudApplication - Starting system ...
2025-08-18 17:56:46.366 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_solar_obs
2025-08-18 17:56:46.367 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_real_power_obs
2025-08-18 17:56:52.708 [Thread-0] ERROR it.evsmartcharging.CoapObserver - Error parsing JSON: Not a JSON Object: "TooManyObservers"
2025-08-18 17:56:53.939 [Thread-0] ERROR it.evsmartcharging.CoapObserver - Error parsing JSON: Not a JSON Object: "TooManyObservers"
2025-08-18 17:57:18.371 [main] INFO  it.evsmartcharging.CloudApplication - Starting system ...
2025-08-18 17:57:18.509 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_solar_obs
2025-08-18 17:57:18.511 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_real_power_obs
2025-08-18 17:57:30.205 [main] INFO  it.evsmartcharging.CloudApplication - Starting system ...
2025-08-18 17:57:30.298 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_solar_obs
2025-08-18 17:57:30.300 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_real_power_obs
2025-08-18 17:57:37.364 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5925, WS=1.9351, P_predicted=0.0
2025-08-18 17:57:39.325 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:50.0, P_real=0.0
2025-08-18 17:57:40.716 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:55.0, P_real=0.0
2025-08-18 17:57:43.210 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:00.0, P_real=0.0
2025-08-18 17:57:43.315 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.59, WS=1.9347, P_predicted=0.0
2025-08-18 17:57:45.756 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:05.0, P_real=0.0
2025-08-18 17:57:48.267 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:10.0, P_real=0.0
2025-08-18 17:57:50.752 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:15.0, P_real=0.0
2025-08-18 17:57:53.234 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:20.0, P_real=0.0
