time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,0.0,8.65,2.41,0.0
20180101:0110,0.0,0.0,0.0,0.0,0.0,8.64,2.48,0.0
20180101:0210,0.0,0.0,0.0,0.0,0.0,9.2,2.83,0.0
20180101:0310,0.0,0.0,0.0,0.0,0.0,9.58,3.1,0.0
20180101:0410,0.0,0.0,0.0,0.0,0.0,9.8,2.9,0.0
20180101:0510,0.0,0.0,0.0,0.0,0.0,10.05,2.55,0.0
20180101:0610,0.0,0.0,0.0,0.0,0.0,10.26,2.34,0.0
20180101:0710,0.0,0.0,1.8,0.04,1.92,10.35,2.21,0.0
20180101:0810,8036.4,25.45,67.37,1.56,10.15,10.54,1.79,0.0
20180101:0910,1093.2,0.0,21.55,0.49,16.78,11.11,1.52,0.0
20180101:1010,4951.2,0.0,62.84,1.42,21.29,11.56,2.48,0.0
20180101:1110,49350.0,268.64,215.53,6.08,23.22,11.75,2.9,0.0
20180101:1210,62077.2,409.95,196.63,6.56,22.34,11.25,3.72,0.0
20180101:1310,19905.6,57.74,144.95,3.48,18.77,11.06,4.48,0.0
20180101:1410,34910.4,221.22,121.97,3.31,12.88,11.14,4.34,0.0
20180101:1510,16112.4,127.04,45.61,1.12,5.2,10.96,3.1,0.0
20180101:1610,0.0,0.0,0.0,0.0,0.0,10.13,3.72,0.0
20180101:1710,0.0,0.0,0.0,0.0,0.0,9.86,2.97,0.0
20180101:1810,0.0,0.0,0.0,0.0,0.0,9.76,2.62,0.0
20180101:1910,0.0,0.0,0.0,0.0,0.0,10.44,5.38,0.0
20180101:2010,0.0,0.0,0.0,0.0,0.0,11.27,8.55,0.0
20180101:2110,0.0,0.0,0.0,0.0,0.0,11.81,8.41,0.0
20180101:2210,0.0,0.0,0.0,0.0,0.0,11.72,8.28,0.0
20180101:2310,0.0,0.0,0.0,0.0,0.0,11.57,7.52,0.0
20180102:0010,0.0,0.0,0.0,0.0,0.0,11.22,5.86,0.0
20180102:0110,0.0,0.0,0.0,0.0,0.0,10.74,3.52,0.0
